name,year,miles,color,condition,price
Alfa Romeo Stelvio,2022,63 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$31,072"
Alfa Romeo Stelvio,2022,25 miles,"Red exterior, Black interior","No accidents reported, 1 Owner","$33,684"
Alfa Romeo Stelvio,2022,86 miles,"White exterior, Black interior","No accidents reported, 1 Owner","$35,298"
Alfa Romeo Stelvio,2022,64 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$35,688"
Aston Martin DB9,2008,"20,938 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$40,900"
Aston Martin Vantage,2020,"4,080 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$105,888"
Aston Martin Vantage,2020,"4,080 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$105,888"
Audi A3,2023,615 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$34,995"
Audi A3,2023,"2,235 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,995"
Audi A3,2023,"2,110 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,615 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$34,995"
Audi A3,2023,"1,193 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2018,"78,782 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$15,898"
Audi A3,2023,"3,573 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,"1,008 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,"1,193 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2020,"35,165 miles","White exterior, Black interior","1 accident reported, 1 Owner","$24,998"
Audi A3,2018,"78,782 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$15,898"
Audi A3,2023,"1,529 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,"1,350 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,995"
